# Iterations  ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
1436 6.221885e-05 4.648211e-04 2.380543e-04 1.894275e-04 3.775112e-03 1.483773e-08
1437 6.207889e-05 4.708723e-04 2.359335e-04 1.869684e-04 3.764962e-03 1.501749e-08
1438 6.191979e-05 4.764557e-04 2.339996e-04 1.844046e-04 3.754240e-03 1.519950e-08
1439 6.174767e-05 4.814846e-04 2.323939e-04 1.817912e-04 3.743180e-03 1.538401e-08
1440 6.156112e-05 4.858981e-04 2.311780e-04 1.791613e-04 3.731711e-03 1.557108e-08
1441 6.136051e-05 4.896629e-04 2.303879e-04 1.765436e-04 3.719943e-03 1.576080e-08
1442 6.115509e-05 4.927169e-04 2.300256e-04 1.739409e-04 3.708354e-03 1.595333e-08
1443 6.094770e-05 4.950193e-04 2.300503e-04 1.713617e-04 3.697248e-03 1.614861e-08
1444 6.074100e-05 4.964700e-04 2.304386e-04 1.688035e-04 3.687036e-03 1.634674e-08
1445 6.055725e-05 4.970769e-04 2.311525e-04 1.662549e-04 3.679016e-03 1.654765e-08
1446 6.041123e-05 4.968558e-04 2.321780e-04 1.637108e-04 3.673932e-03 1.675127e-08
1447 6.031038e-05 4.956019e-04 2.334988e-04 1.612047e-04 3.672038e-03 1.695742e-08
1448 6.025608e-05 4.933752e-04 2.351008e-04 1.587585e-04 3.673267e-03 1.716602e-08
1449 6.023086e-05 4.903761e-04 2.369826e-04 1.564169e-04 3.676578e-03 1.737682e-08
1450 6.023159e-05 4.866143e-04 2.391525e-04 1.542283e-04 3.681391e-03 1.758950e-08
1451 6.024705e-05 4.821315e-04 2.416049e-04 1.522297e-04 3.686777e-03 1.780376e-08
1452 6.025586e-05 4.770305e-04 2.443420e-04 1.504655e-04 3.691279e-03 1.801947e-08
1453 6.023867e-05 4.715948e-04 2.473438e-04 1.489776e-04 3.693498e-03 1.823649e-08
1454 6.017594e-05 4.659171e-04 2.505799e-04 1.477983e-04 3.692079e-03 1.845458e-08
1455 6.006388e-05 4.601791e-04 2.539887e-04 1.469523e-04 3.686538e-03 1.867369e-08
1456 5.989791e-05 4.546388e-04 2.575404e-04 1.464475e-04 3.676490e-03 1.889372e-08
1457 5.966755e-05 4.494368e-04 2.611780e-04 1.462871e-04 3.661609e-03 1.911458e-08
1458 5.937207e-05 4.447358e-04 2.647761e-04 1.464392e-04 3.641870e-03 1.933665e-08
1459 5.901117e-05 4.407572e-04 2.682397e-04 1.468524e-04 3.617469e-03 1.955989e-08
1460 5.859441e-05 4.376047e-04 2.714552e-04 1.474627e-04 3.589306e-03 1.978467e-08
1461 5.813972e-05 4.354185e-04 2.743620e-04 1.482035e-04 3.558455e-03 2.001138e-08
1462 5.764602e-05 4.342680e-04 2.767431e-04 1.490186e-04 3.524876e-03 2.024049e-08
1463 5.708490e-05 4.340116e-04 2.783290e-04 1.498522e-04 3.487475e-03 2.047297e-08
1464 5.646151e-05 4.344406e-04 2.789688e-04 1.506396e-04 3.446985e-03 2.070911e-08
1465 5.578288e-05 4.353437e-04 2.786688e-04 1.513373e-04 3.404260e-03 2.094944e-08
1466 5.506985e-05 4.364111e-04 2.772890e-04 1.519122e-04 3.360299e-03 2.119449e-08
1467 5.433715e-05 4.374518e-04 2.747433e-04 1.523507e-04 3.316011e-03 2.144481e-08
1468 5.356864e-05 4.380457e-04 2.713853e-04 1.526582e-04 3.270857e-03 2.170066e-08
1469 5.277802e-05 4.376793e-04 2.672362e-04 1.528306e-04 3.225742e-03 2.196225e-08
