# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1379 7.950239e-10 8.537118e-10 1.154873e-09 9.897551e-10 5.012649e-08 5.014264e-15
1380 7.999294e-10 8.514840e-10 1.159382e-09 9.976060e-10 5.045492e-08 5.046035e-15
1381 8.060800e-10 8.492109e-10 1.161653e-09 1.004113e-09 5.084535e-08 5.074638e-15
1382 8.121100e-10 8.474877e-10 1.161693e-09 1.010134e-09 5.123109e-08 5.100235e-15
1383 8.172273e-10 8.474967e-10 1.162133e-09 1.015441e-09 5.157076e-08 5.120896e-15
1384 8.208490e-10 8.493275e-10 1.162007e-09 1.019363e-09 5.179867e-08 5.138419e-15
1385 8.234816e-10 8.527941e-10 1.161648e-09 1.023524e-09 5.197331e-08 5.153248e-15
1386 8.261677e-10 8.580108e-10 1.160772e-09 1.025962e-09 5.214130e-08 5.168661e-15
1387 8.295311e-10 8.648434e-10 1.159358e-09 1.027362e-09 5.235101e-08 5.185625e-15
1388 8.332565e-10 8.716255e-10 1.155244e-09 1.026817e-09 5.260278e-08 5.202423e-15
1389 8.368241e-10 8.775396e-10 1.151410e-09 1.025309e-09 5.285036e-08 5.219941e-15
1390 8.406908e-10 8.828384e-10 1.147672e-09 1.022304e-09 5.309678e-08 5.236947e-15
1391 8.444234e-10 8.872610e-10 1.143896e-09 1.017826e-09 5.332020e-08 5.253515e-15
1392 8.470919e-10 8.912701e-10 1.141135e-09 1.012698e-09 5.347505e-08 5.267089e-15
1393 8.484128e-10 8.944034e-10 1.135983e-09 1.003838e-09 5.354014e-08 5.279602e-15
1394 8.482977e-10 8.969623e-10 1.128099e-09 9.942447e-10 5.352168e-08 5.289594e-15
1395 8.471927e-10 8.986781e-10 1.121558e-09 9.869222e-10 5.345206e-08 5.295835e-15
1396 8.452730e-10 8.993274e-10 1.121151e-09 9.820909e-10 5.332057e-08 5.300203e-15
1397 8.427739e-10 8.977589e-10 1.123404e-09 9.807417e-10 5.317186e-08 5.302101e-15
1398 8.406216e-10 8.946427e-10 1.127342e-09 9.802874e-10 5.303854e-08 5.303232e-15
1399 8.372402e-10 8.909182e-10 1.131460e-09 9.804841e-10 5.283346e-08 5.305206e-15
1400 8.316624e-10 8.880787e-10 1.137215e-09 9.797355e-10 5.249367e-08 5.312717e-15
1401 8.251409e-10 8.879932e-10 1.142489e-09 9.773575e-10 5.208353e-08 5.325051e-15
1402 8.183574e-10 8.907479e-10 1.147828e-09 9.749161e-10 5.163966e-08 5.346184e-15
1403 8.125391e-10 8.935956e-10 1.150062e-09 9.732809e-10 5.126754e-08 5.374086e-15
1404 8.070644e-10 8.975702e-10 1.148257e-09 9.705190e-10 5.093550e-08 5.409477e-15
1405 8.009123e-10 9.020730e-10 1.143293e-09 9.651975e-10 5.056924e-08 5.452925e-15
1406 7.954549e-10 9.067973e-10 1.135765e-09 9.584996e-10 5.023727e-08 5.501277e-15
1407 7.910142e-10 9.112922e-10 1.124423e-09 9.494115e-10 4.995426e-08 5.549890e-15
1408 7.892185e-10 9.153669e-10 1.111479e-09 9.401180e-10 4.980683e-08 5.596608e-15
1409 7.883150e-10 9.185700e-10 1.096083e-09 9.310791e-10 4.974945e-08 5.639758e-15
1410 7.871342e-10 9.211122e-10 1.078236e-09 9.225286e-10 4.967809e-08 5.679600e-15
1411 7.855939e-10 9.234045e-10 1.058469e-09 9.149207e-10 4.957619e-08 5.718657e-15
1412 7.832153e-10 9.268615e-10 1.038503e-09 9.094644e-10 4.941975e-08 5.757240e-15
1413 7.805762e-10 9.313676e-10 1.020591e-09 9.071132e-10 4.924917e-08 5.793085e-15
1414 7.781687e-10 9.359640e-10 1.009575e-09 9.116729e-10 4.908730e-08 5.825837e-15
1415 7.746687e-10 9.390352e-10 1.009414e-09 9.230374e-10 4.887514e-08 5.853091e-15
1416 7.707819e-10 9.417482e-10 1.015248e-09 9.347816e-10 4.861998e-08 5.877023e-15
1417 7.664314e-10 9.436404e-10 1.018751e-09 9.449107e-10 4.830089e-08 5.900752e-15
1418 7.619345e-10 9.440664e-10 1.018496e-09 9.539301e-10 4.798367e-08 5.923012e-15
1419 7.576935e-10 9.435226e-10 1.016526e-09 9.610870e-10 4.771495e-08 5.943090e-15
1420 7.549689e-10 9.413500e-10 1.014216e-09 9.637610e-10 4.753133e-08 5.962009e-15
1421 7.530799e-10 9.387906e-10 1.010405e-09 9.632153e-10 4.742532e-08 5.979818e-15
1422 7.508402e-10 9.366806e-10 1.006148e-09 9.594960e-10 4.728786e-08 5.998518e-15
1423 7.483199e-10 9.353656e-10 1.001584e-09 9.532529e-10 4.711267e-08 6.022165e-15
1424 7.469687e-10 9.359257e-10 9.963663e-10 9.452087e-10 4.700990e-08 6.059502e-15
