# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
961 1.021092e-02 5.731844e-04 9.637737e-03 2.094928e-01 2.097333e-01 -2.404582e-04 6.657786e-03
962 9.168208e-03 -4.696030e-04 9.637811e-03 2.058686e-01 2.061089e-01 -2.403191e-04 7.798410e-03
963 8.156393e-03 -1.481494e-03 9.637887e-03 2.022265e-01 2.024667e-01 -2.401675e-04 8.947132e-03
964 7.175981e-03 -2.461983e-03 9.637963e-03 1.985690e-01 1.988090e-01 -2.400032e-04 1.010564e-02
965 6.227416e-03 -3.410623e-03 9.638039e-03 1.948995e-01 1.951394e-01 -2.398229e-04 1.127534e-02
966 5.310849e-03 -4.327263e-03 9.638112e-03 1.912215e-01 1.914611e-01 -2.396259e-04 1.245792e-02
967 4.426260e-03 -5.211923e-03 9.638183e-03 1.875390e-01 1.877785e-01 -2.394105e-04 1.365475e-02
968 3.573615e-03 -6.064635e-03 9.638250e-03 1.838574e-01 1.840966e-01 -2.391745e-04 1.486671e-02
969 2.752767e-03 -6.885546e-03 9.638313e-03 1.801819e-01 1.804208e-01 -2.389169e-04 1.609454e-02
970 1.963544e-03 -7.674828e-03 9.638372e-03 1.765178e-01 1.767565e-01 -2.386372e-04 1.733842e-02
971 1.205703e-03 -8.432725e-03 9.638427e-03 1.728710e-01 1.731093e-01 -2.383358e-04 1.859816e-02
972 4.793070e-04 -9.159171e-03 9.638478e-03 1.692479e-01 1.694859e-01 -2.380128e-04 1.987282e-02
973 -2.156733e-04 -9.854197e-03 9.638524e-03 1.656550e-01 1.658927e-01 -2.376688e-04 2.116117e-02
974 -8.791426e-04 -1.051771e-02 9.638567e-03 1.620981e-01 1.623355e-01 -2.373056e-04 2.246156e-02
975 -1.510812e-03 -1.114942e-02 9.638605e-03 1.585828e-01 1.588198e-01 -2.369265e-04 2.377204e-02
976 -2.110257e-03 -1.174890e-02 9.638641e-03 1.551141e-01 1.553506e-01 -2.365348e-04 2.509035e-02
977 -2.677030e-03 -1.231570e-02 9.638673e-03 1.516965e-01 1.519326e-01 -2.361340e-04 2.641386e-02
978 -3.210295e-03 -1.284900e-02 9.638702e-03 1.483336e-01 1.485694e-01 -2.357273e-04 2.773989e-02
979 -3.709397e-03 -1.334812e-02 9.638728e-03 1.450285e-01 1.452638e-01 -2.353192e-04 2.906591e-02
980 -4.173246e-03 -1.381200e-02 9.638750e-03 1.417839e-01 1.420188e-01 -2.349109e-04 3.038896e-02
981 -4.600896e-03 -1.423966e-02 9.638768e-03 1.386018e-01 1.388363e-01 -2.345054e-04 3.170656e-02
982 -4.991077e-03 -1.462986e-02 9.638782e-03 1.354840e-01 1.357181e-01 -2.341020e-04 3.301608e-02
983 -5.342670e-03 -1.498146e-02 9.638791e-03 1.324317e-01 1.326654e-01 -2.337035e-04 3.431549e-02
984 -5.653828e-03 -1.529262e-02 9.638795e-03 1.294477e-01 1.296810e-01 -2.333070e-04 3.560203e-02
985 -5.923109e-03 -1.556190e-02 9.638794e-03 1.265346e-01 1.267675e-01 -2.329103e-04 3.687373e-02
986 -6.148432e-03 -1.578722e-02 9.638787e-03 1.236959e-01 1.239284e-01 -2.325105e-04 3.812881e-02
987 -6.327713e-03 -1.596649e-02 9.638775e-03 1.209360e-01 1.211681e-01 -2.321046e-04 3.936570e-02
988 -6.458445e-03 -1.609720e-02 9.638757e-03 1.182603e-01 1.184920e-01 -2.316886e-04 4.058295e-02
989 -6.538108e-03 -1.617684e-02 9.638732e-03 1.156762e-01 1.159074e-01 -2.312580e-04 4.177920e-02
990 -6.563114e-03 -1.620181e-02 9.638701e-03 1.131903e-01 1.134211e-01 -2.308062e-04 4.295412e-02
991 -6.531266e-03 -1.616993e-02 9.638662e-03 1.108157e-01 1.110460e-01 -2.303306e-04 4.410458e-02
992 -6.439427e-03 -1.607804e-02 9.638617e-03 1.085645e-01 1.087943e-01 -2.298273e-04 4.522852e-02
993 -6.284705e-03 -1.592327e-02 9.638563e-03 1.064489e-01 1.066782e-01 -2.292943e-04 4.632397e-02
994 -6.064271e-03 -1.570277e-02 9.638501e-03 1.044827e-01 1.047114e-01 -2.287303e-04 4.738857e-02
995 -5.775482e-03 -1.541391e-02 9.638430e-03 1.026814e-01 1.029095e-01 -2.281333e-04 4.841914e-02
996 -5.416019e-03 -1.505437e-02 9.638348e-03 1.010613e-01 1.012888e-01 -2.275034e-04 4.941216e-02
997 -4.984201e-03 -1.462246e-02 9.638254e-03 9.963791e-02 9.986475e-02 -2.268428e-04 5.036392e-02
998 -4.478680e-03 -1.411683e-02 9.638148e-03 9.842590e-02 9.865206e-02 -2.261539e-04 5.127027e-02
999 -3.898948e-03 -1.353698e-02 9.638028e-03 9.743956e-02 9.766500e-02 -2.254414e-04 5.212666e-02
1000 -3.245198e-03 -1.288309e-02 9.637893e-03 9.669006e-02 9.691477e-02 -2.247121e-04 5.292841e-02
1001 -2.518814e-03 -1.215656e-02 9.637742e-03 9.618765e-02 9.641162e-02 -2.239737e-04 5.367042e-02
1002 -1.721741e-03 -1.135931e-02 9.637573e-03 9.594111e-02 9.616434e-02 -2.232318e-04 5.434630e-02
1003 -8.568849e-04 -1.049427e-02 9.637386e-03 9.595466e-02 9.617715e-02 -2.224975e-04 5.495014e-02
1004 7.209124e-05 -9.565090e-03 9.637181e-03 9.623291e-02 9.645469e-02 -2.217786e-04 5.547431e-02
1005 1.060466e-03 -8.576491e-03 9.636957e-03 9.677371e-02 9.699479e-02 -2.210818e-04 5.591259e-02
1006 2.102433e-03 -7.534281e-03 9.636714e-03 9.757241e-02 9.779283e-02 -2.204171e-04 5.625804e-02
1007 3.191565e-03 -6.444888e-03 9.636453e-03 9.862419e-02 9.884398e-02 -2.197923e-04 5.650248e-02
1008 4.320332e-03 -5.315841e-03 9.636173e-03 9.991317e-02 1.001324e-01 -2.192185e-04 5.664099e-02
1009 5.480441e-03 -4.155434e-03 9.635876e-03 1.014230e-01 1.016417e-01 -2.187039e-04 5.666759e-02
1010 6.663484e-03 -2.972078e-03 9.635562e-03 1.031385e-01 1.033568e-01 -2.182530e-04 5.657623e-02
1011 7.860216e-03 -1.775019e-03 9.635235e-03 1.050388e-01 1.052567e-01 -2.178638e-04 5.636181e-02
1012 9.062689e-03 -5.722092e-04 9.634898e-03 1.071048e-01 1.073223e-01 -2.175393e-04 5.602138e-02
1013 1.026250e-02 6.279485e-04 9.634556e-03 1.093146e-01 1.095318e-01 -2.172762e-04 5.555172e-02
1014 1.145229e-02 1.818073e-03 9.634213e-03 1.116487e-01 1.118658e-01 -2.170778e-04 5.494920e-02
1015 1.262397e-02 2.990102e-03 9.633872e-03 1.140821e-01 1.142991e-01 -2.169464e-04 5.421326e-02
1016 1.377180e-02 4.138261e-03 9.633537e-03 1.165947e-01 1.168116e-01 -2.168765e-04 5.334097e-02
1017 1.488717e-02 5.253959e-03 9.633214e-03 1.191578e-01 1.193747e-01 -2.168701e-04 5.233617e-02
1018 1.596346e-02 6.330551e-03 9.632907e-03 1.217457e-01 1.219626e-01 -2.169251e-04 5.120217e-02
1019 1.699415e-02 7.361530e-03 9.632618e-03 1.243307e-01 1.245478e-01 -2.170399e-04 4.994501e-02
1020 1.797489e-02 8.342535e-03 9.632354e-03 1.268906e-01 1.271078e-01 -2.172083e-04 4.856929e-02
1021 1.890098e-02 9.268859e-03 9.632117e-03 1.294027e-01 1.296201e-01 -2.174248e-04 4.708274e-02
1022 1.976846e-02 1.013655e-02 9.631911e-03 1.318479e-01 1.320656e-01 -2.176798e-04 4.549404e-02
1023 2.057374e-02 1.094200e-02 9.631735e-03 1.342067e-01 1.344247e-01 -2.179653e-04 4.381283e-02
1024 2.131292e-02 1.168132e-02 9.631593e-03 1.364642e-01 1.366825e-01 -2.182743e-04 4.205001e-02
1025 2.198235e-02 1.235086e-02 9.631484e-03 1.386073e-01 1.388259e-01 -2.186008e-04 4.021743e-02
1026 2.257846e-02 1.294706e-02 9.631406e-03 1.406252e-01 1.408441e-01 -2.189378e-04 3.832798e-02
1027 2.309751e-02 1.346615e-02 9.631359e-03 1.425133e-01 1.427326e-01 -2.192795e-04 3.639413e-02
1028 2.353576e-02 1.390442e-02 9.631339e-03 1.442691e-01 1.444887e-01 -2.196166e-04 3.442923e-02
1029 2.388855e-02 1.425721e-02 9.631345e-03 1.458911e-01 1.461110e-01 -2.199433e-04 3.244737e-02
